# Irene Model output file: space_first/run/diff.AP9.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP9
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           Omnidirectional
# Energy levels (MeV):       0.1 0.15 0.2 0.3 0.4 0.5 0.6 0.7 1 1.5 2 3 4 5 6 7 10 15 20 30 40 50 60 70 100 150 200 300 400 700 1200 2000
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/s/MeV)
58849.00694444,1.15710550,0.24191688,0.57292265,2.17687253e+04,1.96838347e+04,1.75989441e+04,1.48100681e+04,1.20211920e+04,1.02339952e+04,8.44679833e+03,7.42142615e+03,4.09331406e+03,3.13961823e+03,2.18592241e+03,1.58767364e+03,9.89424876e+02,7.44844740e+02,5.00264604e+02,3.83552012e+02,1.28227738e+02,5.86596329e+01,2.33640707e+01,9.12625586e+00,6.58943013e+00,4.05260440e+00,1.98496375e+00,1.49828194e+00,2.83853527e-01,5.78423913e-02,8.05778583e-03,1.11336196e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00763889,1.12487820,0.26388417,0.62493655,1.95574590e+04,1.76575649e+04,1.57576708e+04,1.32195807e+04,1.06814906e+04,9.05458055e+03,7.42767047e+03,6.48977482e+03,3.38313505e+03,2.50188170e+03,1.62062834e+03,1.11802818e+03,6.15428016e+02,4.38124571e+02,2.60821126e+02,1.91692342e+02,5.40394241e+01,2.28244490e+01,8.38355164e+00,2.98662494e+00,2.08668013e+00,1.18673532e+00,5.03022002e-01,3.59221384e-01,4.62802106e-02,7.44869123e-03,6.40567614e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00833333,1.08989822,0.28520570,0.67541829,2.02469449e+04,1.82839662e+04,1.63209876e+04,1.36783661e+04,1.10357447e+04,9.32132553e+03,7.60690641e+03,6.60680952e+03,3.24147716e+03,2.29724199e+03,1.35300681e+03,8.86890199e+02,4.20773589e+02,2.82205300e+02,1.43637012e+02,1.00304664e+02,2.13959472e+01,7.77976542e+00,2.52024182e+00,7.87460866e-01,4.94474503e-01,2.01488139e-01,7.51238749e-02,5.11545973e-02,4.91551323e-03,6.04940698e-04,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00902778,1.05225136,0.30582936,0.72424421,2.82656770e+04,2.55215148e+04,2.27773526e+04,1.90556807e+04,1.53340088e+04,1.28828764e+04,1.04317440e+04,8.98873784e+03,4.06451492e+03,2.73960120e+03,1.41468748e+03,8.79938610e+02,3.45189742e+02,2.17308955e+02,8.94281684e+01,5.90695060e+01,8.61440856e+00,2.57945199e+00,6.92897499e-01,1.23343076e-01,6.16715379e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00972222,1.01202995,0.32570474,0.77129478,5.08011437e+04,4.56970111e+04,4.05928784e+04,3.36942950e+04,2.67957115e+04,2.22580420e+04,1.77203726e+04,1.50634673e+04,6.01104884e+03,3.82856419e+03,1.64607954e+03,9.70135823e+02,2.94192109e+02,1.74155517e+02,5.41189254e+01,3.36419606e+01,2.75312830e+00,6.48795141e-01,1.31364932e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01041667,0.96933264,0.34478330,0.81645483,1.01457359e+05,9.05625981e+04,7.96678368e+04,6.51669372e+04,5.06660377e+04,4.13109401e+04,3.19558426e+04,2.66210623e+04,8.90299615e+03,5.36579548e+03,1.82859481e+03,1.02546855e+03,2.22342285e+02,1.24558724e+02,2.67751630e+01,1.55667433e+01,5.15839194e-01,7.83056154e-02,1.73281754e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01111111,0.92426415,0.36301845,0.85961390,1.83122422e+05,1.61275025e+05,1.39427628e+05,1.11368098e+05,8.33085687e+04,6.60903182e+04,4.88720678e+04,3.95960432e+04,1.06630487e+04,6.14367835e+03,1.62430798e+03,8.77570084e+02,1.30832187e+02,7.04762493e+01,1.01203112e+01,5.59515623e+00,9.28469811e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01180556,0.87693496,0.38036568,0.90066644,2.73485007e+05,2.36007328e+05,1.98529649e+05,1.53247227e+05,1.07964806e+05,8.24483594e+04,5.69319131e+04,4.46066779e+04,9.84318506e+03,5.47345560e+03,1.10372614e+03,5.79361701e+02,5.49972668e+01,2.86702624e+01,2.34325806e+00,1.25097756e+00,8.68757854e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01250000,0.82746111,0.39678268,0.93951211,3.10576251e+05,2.61075992e+05,2.11575734e+05,1.57009759e+05,1.02443784e+05,7.54454879e+04,4.84471915e+04,3.71270467e+04,7.01803871e+03,3.78552611e+03,5.53013517e+02,2.83970114e+02,1.49267110e+01,7.63967590e+00,3.52640844e-01,1.82644836e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.01319444,0.77596384,0.41222942,0.97605602,3.24349159e+05,2.58358352e+05,1.92367545e+05,1.32357191e+05,7.23468380e+04,5.14202667e+04,3.04936954e+04,2.29845905e+04,3.76629485e+03,1.98010979e+03,1.93924728e+02,9.81796325e+01,2.43453734e+00,1.23635160e+00,3.81658614e-02,1.90829307e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
