   7.500, 252.000,  15.000,  24.000, 0.113581, 2.2961E+02, 1.5312E+02, 1.1089E+02, 6.6810E+01, 4.6045E+01, 3.4996E+01, 2.8552E+01, 2.4508E+01, 1.8563E+01, 1.4932E+01, 1.3316E+01, 1.1691E+01, 1.0759E+01, 1.0086E+01, 9.5403E+00, 9.0626E+00, 7.8727E+00, 6.5533E+00, 5.7682E+00, 4.8902E+00, 4.3393E+00, 3.9026E+00, 3.5243E+00, 3.1693E+00, 2.2897E+00, 1.3720E+00, 8.3256E-01, 3.2598E-01, 1.4809E-01, 2.1766E+03, 1.0823E+03, 6.6123E+02, 2.9391E+02, 1.4563E+02, 8.3400E+01, 4.9454E+01, 3.2959E+01, 1.1575E+01, 4.5082E+00, 2.3052E+00, 1.1545E+00, 7.5612E-01, 6.0033E-01, 4.9807E-01, 4.5892E-01, 3.4624E-01, 2.0363E-01, 1.2138E-01, 6.4103E-02, 4.7667E-02, 4.0164E-02, 3.5725E-02, 3.5280E-02, 2.4628E-02, 1.3833E-02, 8.4412E-03, 2.9803E-03, 1.0154E-03
   7.500, 276.000,  15.000,  24.000, 0.113581, 2.2974E+02, 1.5335E+02, 1.1118E+02, 6.7160E+01, 4.6427E+01, 3.5396E+01, 2.8962E+01, 2.4924E+01, 1.8987E+01, 1.5360E+01, 1.3742E+01, 1.2109E+01, 1.1169E+01, 1.0489E+01, 9.9345E+00, 9.4482E+00, 8.2236E+00, 6.8500E+00, 6.0315E+00, 5.1156E+00, 4.5409E+00, 4.0858E+00, 3.6912E+00, 3.3207E+00, 2.4022E+00, 1.4425E+00, 8.7715E-01, 3.4469E-01, 1.5708E-01, 2.1738E+03, 1.0808E+03, 6.6028E+02, 2.9347E+02, 1.4540E+02, 8.3263E+01, 4.9376E+01, 3.2910E+01, 1.1560E+01, 4.5074E+00, 2.3104E+00, 1.1621E+00, 7.6430E-01, 6.0864E-01, 5.0620E-01, 4.6779E-01, 3.5976E-01, 2.1240E-01, 1.2647E-01, 6.6947E-02, 4.9677E-02, 4.1865E-02, 3.7275E-02, 3.6830E-02, 2.5726E-02, 1.4482E-02, 8.8584E-03, 3.1388E-03, 1.0728E-03
   7.500, 300.000,  15.000,  24.000, 0.113581, 2.2947E+02, 1.5312E+02, 1.1097E+02, 6.6982E+01, 4.6264E+01, 3.5241E+01, 2.8813E+01, 2.4779E+01, 1.8849E+01, 1.5228E+01, 1.3614E+01, 1.1988E+01, 1.1054E+01, 1.0378E+01, 9.8290E+00, 9.3479E+00, 8.1375E+00, 6.7809E+00, 5.9722E+00, 5.0663E+00, 4.4975E+00, 4.0469E+00, 3.6563E+00, 3.2894E+00, 2.3797E+00, 1.4291E+00, 8.6906E-01, 3.4150E-01, 1.5562E-01, 2.1726E+03, 1.0802E+03, 6.5988E+02, 2.9327E+02, 1.4529E+02, 8.3194E+01, 4.9332E+01, 3.2877E+01, 1.1544E+01, 4.4981E+00, 2.3031E+00, 1.1564E+00, 7.5897E-01, 6.0351E-01, 5.0120E-01, 4.6263E-01, 3.5532E-01, 2.0977E-01, 1.2502E-01, 6.6251E-02, 4.9178E-02, 4.1449E-02, 3.6909E-02, 3.6470E-02, 2.5481E-02, 1.4346E-02, 8.7765E-03, 3.1099E-03, 1.0629E-03
   7.500, 324.000,  15.000,  24.000, 0.113581, 2.2896E+02, 1.5260E+02, 1.1045E+02, 6.6459E+01, 4.5740E+01, 3.4719E+01, 2.8291E+01, 2.4259E+01, 1.8334E+01, 1.4720E+01, 1.3114E+01, 1.1503E+01, 1.0583E+01, 9.9213E+00, 9.3858E+00, 8.9187E+00, 7.7555E+00, 6.4638E+00, 5.6942E+00, 4.8308E+00, 4.2881E+00, 3.8576E+00, 3.4844E+00, 3.1341E+00, 2.2656E+00, 1.3587E+00, 8.2510E-01, 3.2338E-01, 1.4702E-01, 2.1730E+03, 1.0804E+03, 6.5995E+02, 2.9327E+02, 1.4528E+02, 8.3186E+01, 4.9320E+01, 3.2863E+01, 1.1530E+01, 4.4842E+00, 2.2881E+00, 1.1422E+00, 7.4486E-01, 5.8962E-01, 4.8760E-01, 4.4825E-01, 3.3879E-01, 1.9942E-01, 1.1913E-01, 6.3149E-02, 4.6979E-02, 3.9602E-02, 3.5246E-02, 3.4819E-02, 2.4327E-02, 1.3677E-02, 8.3560E-03, 2.9535E-03, 1.0071E-03
   7.500, 348.000,  15.000,  24.000, 0.113581, 2.2850E+02, 1.5211E+02, 1.0995E+02, 6.5938E+01, 4.5214E+01, 3.4190E+01, 2.7761E+01, 2.3729E+01, 1.7807E+01, 1.4199E+01, 1.2600E+01, 1.1003E+01, 1.0098E+01, 9.4507E+00, 8.9294E+00, 8.4767E+00, 7.3623E+00, 6.1379E+00, 5.4086E+00, 4.5893E+00, 4.0734E+00, 3.6637E+00, 3.3086E+00, 2.9754E+00, 2.1491E+00, 1.2870E+00, 7.8039E-01, 3.0501E-01, 1.3834E-01, 2.1738E+03, 1.0808E+03, 6.6018E+02, 2.9337E+02, 1.4532E+02, 8.3204E+01, 4.9323E+01, 3.2859E+01, 1.1520E+01, 4.4721E+00, 2.2737E+00, 1.1281E+00, 7.3057E-01, 5.7544E-01, 4.7360E-01, 4.3336E-01, 3.2170E-01, 1.8871E-01, 1.1304E-01, 5.9946E-02, 4.4705E-02, 3.7693E-02, 3.3534E-02, 3.3122E-02, 2.3143E-02, 1.2993E-02, 7.9266E-03, 2.7944E-03, 9.5052E-04
  22.500,  12.000,  15.000,  24.000, 0.333001, 6.7725E+02, 4.5018E+02, 3.2482E+02, 1.9396E+02, 1.3231E+02, 9.9512E+01, 8.0378E+01, 6.8372E+01, 5.0735E+01, 3.9998E+01, 3.5252E+01, 3.0545E+01, 2.7902E+01, 2.6033E+01, 2.4539E+01, 2.3251E+01, 2.0155E+01, 1.6830E+01, 1.4845E+01, 1.2599E+01, 1.1177E+01, 1.0043E+01, 9.0610E+00, 8.1407E+00, 5.8613E+00, 3.4905E+00, 2.1055E+00, 8.1518E-01, 3.6667E-01, 6.4612E+03, 3.2130E+03, 1.9629E+03, 8.7248E+02, 4.3231E+02, 2.4761E+02, 1.4684E+02, 9.7848E+01, 3.4309E+01, 1.3298E+01, 6.7339E+00, 3.3103E+00, 2.1192E+00, 1.6552E+00, 1.3526E+00, 1.2292E+00, 8.7558E-01, 5.1107E-01, 3.0944E-01, 1.6459E-01, 1.2368E-01, 1.0436E-01, 9.2667E-02, 9.1431E-02, 6.3810E-02, 3.5625E-02, 2.1605E-02, 7.5465E-03, 2.5458E-03
  22.500,  36.000,  15.000,  24.000, 0.333001, 6.7444E+02, 4.4844E+02, 3.2369E+02, 1.9347E+02, 1.3214E+02, 9.9514E+01, 8.0485E+01, 6.8545E+01, 5.1013E+01, 4.0352E+01, 3.5647E+01, 3.0984E+01, 2.8368E+01, 2.6515E+01, 2.5034E+01, 2.3757E+01, 2.0677E+01, 1.7350E+01, 1.5349E+01, 1.3063E+01, 1.1605E+01, 1.0440E+01, 9.4302E+00, 8.4835E+00, 6.1302E+00, 3.6676E+00, 2.2196E+00, 8.6257E-01, 3.8900E-01, 6.4310E+03, 3.1977E+03, 1.9534E+03, 8.6808E+02, 4.3008E+02, 2.4629E+02, 1.4603E+02, 9.7296E+01, 3.4091E+01, 1.3193E+01, 6.6720E+00, 3.2774E+00, 2.0992E+00, 1.6417E+00, 1.3403E+00, 1.2183E+00, 8.7421E-01, 5.1295E-01, 3.1310E-01, 1.6853E-01, 1.2704E-01, 1.0728E-01, 9.5282E-02, 9.4100E-02, 6.6086E-02, 3.7122E-02, 2.2669E-02, 7.9590E-03, 2.6920E-03
  22.500,  60.000,  15.000,  24.000, 0.333001, 6.7486E+02, 4.5034E+02, 3.2642E+02, 1.9708E+02, 1.3617E+02, 1.0376E+02, 8.4867E+01, 7.3008E+01, 5.5586E+01, 4.4984E+01, 4.0285E+01, 3.5572E+01, 3.2878E+01, 3.0936E+01, 2.9365E+01, 2.8001E+01, 2.4604E+01, 2.0797E+01, 1.8485E+01, 1.5819E+01, 1.4103E+01, 1.2730E+01, 1.1535E+01, 1.0411E+01, 7.5918E+00, 4.6004E+00, 2.8129E+00, 1.1102E+00, 5.0697E-01, 6.3891E+03, 3.1765E+03, 1.9403E+03, 8.6220E+02, 4.2712E+02, 2.4455E+02, 1.4502E+02, 9.6664E+01, 3.3887E+01, 1.3127E+01, 6.6914E+00, 3.3411E+00, 2.1834E+00, 1.7356E+00, 1.4256E+00, 1.3065E+00, 9.9159E-01, 5.9211E-01, 3.6234E-01, 1.9824E-01, 1.4949E-01, 1.2660E-01, 1.1299E-01, 1.1200E-01, 7.9664E-02, 4.5459E-02, 2.8224E-02, 1.0083E-02, 3.4533E-03
  22.500,  84.000,  15.000,  24.000, 0.333001, 6.7002E+02, 4.4621E+02, 3.2268E+02, 1.9375E+02, 1.3305E+02, 1.0075E+02, 8.1929E+01, 7.0121E+01, 5.2788E+01, 4.2244E+01, 3.7583E+01, 3.2946E+01, 3.0327E+01, 2.8461E+01, 2.6965E+01, 2.5675E+01, 2.2490E+01, 1.8956E+01, 1.6826E+01, 1.4391E+01, 1.2834E+01, 1.1590E+01, 1.0505E+01, 9.4797E+00, 6.9105E+00, 4.1886E+00, 2.5648E+00, 1.0178E+00, 4.6749E-01, 6.3691E+03, 3.1664E+03, 1.9341E+03, 8.5940E+02, 4.2567E+02, 2.4369E+02, 1.4444E+02, 9.6211E+01, 3.3700E+01, 1.3054E+01, 6.6166E+00, 3.2698E+00, 2.1090E+00, 1.6577E+00, 1.3537E+00, 1.2316E+00, 9.2414E-01, 5.4769E-01, 3.3230E-01, 1.8025E-01, 1.3536E-01, 1.1472E-01, 1.0291E-01, 1.0220E-01, 7.2524E-02, 4.1343E-02, 2.5607E-02, 9.1759E-03, 3.1609E-03
  22.500, 108.000,  15.000,  24.000, 0.333001, 6.7253E+02, 4.4804E+02, 3.2412E+02, 1.9475E+02, 1.3382E+02, 1.0140E+02, 8.2491E+01, 7.0631E+01, 5.3211E+01, 4.2603E+01, 3.7906E+01, 3.3226E+01, 3.0575E+01, 2.8684E+01, 2.7165E+01, 2.5854E+01, 2.2616E+01, 1.9024E+01, 1.6864E+01, 1.4404E+01, 1.2836E+01, 1.1585E+01, 1.0495E+01, 9.4657E+00, 6.8913E+00, 4.1702E+00, 2.5503E+00, 1.0098E+00, 4.6294E-01, 6.3880E+03, 3.1763E+03, 1.9405E+03, 8.6250E+02, 4.2732E+02, 2.4469E+02, 1.4506E+02, 9.6648E+01, 3.3886E+01, 1.3144E+01, 6.6726E+00, 3.3044E+00, 2.1366E+00, 1.6816E+00, 1.3750E+00, 1.2518E+00, 9.4008E-01, 5.5615E-01, 3.3640E-01, 1.8174E-01, 1.3620E-01, 1.1532E-01, 1.0332E-01, 1.0254E-01, 7.2578E-02, 4.1284E-02, 2.5524E-02, 9.1258E-03, 3.1377E-03
