x, y
0.09972085734360095, 0.05411054994702045
0.11647592646903099, 0.051543739315508
0.1369770979793673, 0.04997942064096522
0.17457638208844795, 0.04940742370271089
0.21785022443253924, 0.05092722984560439
0.2757362725486192, 0.054230811139008815
0.3347957463732474, 0.05880871842055273
0.41936612864845985, 0.06595957722346808
0.5983164897294874, 0.08449864169584544
0.7403234126749395, 0.09872922450967582
0.9137584494377554, 0.11593676936660685
1.316713802907106, 0.14825978204134604
1.840931131692616, 0.1871729816559904
2.7075035585551332, 0.24063257929642135
3.9884815089016286, 0.304289673528051
5.734651634359093, 0.36724559641041615
9.261344951666878, 0.4603943663274835
14.713992492353514, 0.5495035710076732
19.95704112801023, 0.6002190250296447
