0.60001	0.00753
0.70495	0.00701
0.82824	0.00652
0.97310	0.00575
1.14329	0.00477
1.34325	0.00396
1.57818	0.00329
1.85420	0.00273
2.17849	0.00227
2.55951	0.00188
3.00716	0.00156
3.53311	0.00130
4.15104	0.00108
4.87704	0.00090
5.73003	0.00074
6.73220	0.00062
7.90964	0.00051
9.29302	0.00043
10.91835	0.00035
12.82795	0.00029
15.07152	0.00024
17.70750	0.00023
20.80450	0.00021
24.44316	0.00019
28.71822	0.00018
33.74097	0.00016
39.64219	0.00015
46.57552	0.00014
54.72147	0.00013
64.29213	0.00012
75.53668	0.00010
88.74787	0.00007
