  2.0551E-01,  2.1955E+00,  8.1741E+06,  4.1177E+06,  8.2501E+05,  2.1625E+05,  7.4153E+04,  2.5428E+04,  8.3086E+03,  2.7149E+03,  1.0634E+03,  2.3449E+02,  8.8666E+01,  3.3527E+01,  1.5712E+01,  7.3633E+00,  3.4389E+00,  1.6061E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1119E-01,  2.3596E+00,  4.9733E+05,  3.1318E+05,  9.9118E+04,  3.5777E+04,  1.4728E+04,  6.0630E+03,  2.2978E+03,  8.7081E+02,  3.6728E+02,  8.0922E+01,  3.4173E+01,  1.4431E+01,  5.0424E+00,  1.7618E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1648E-01,  2.5485E+00,  2.9410E+05,  1.9498E+05,  6.0630E+04,  2.3425E+04,  1.1245E+04,  5.3983E+03,  2.7225E+03,  1.3730E+03,  7.3418E+02,  2.3599E+02,  1.5554E+02,  1.0252E+02,  5.8480E+01,  3.3359E+01,  1.6370E+01,  8.0328E+00,  2.8342E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2132E-01,  2.7666E+00,  4.4126E+05,  2.3932E+05,  7.1935E+04,  3.0987E+04,  1.9130E+04,  1.1810E+04,  8.1685E+03,  5.6501E+03,  4.0399E+03,  2.2069E+03,  1.4472E+03,  9.4899E+02,  6.1914E+02,  4.0394E+02,  2.5402E+02,  1.5974E+02,  9.7082E+01,  5.9001E+01,  3.4919E+01,  2.0667E+01,  1.1335E+01,  6.2170E+00,  3.3244E+00,  1.7777E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2570E-01,  3.0172E+00,  6.2965E+06,  3.8029E+06,  2.1293E+06,  1.4291E+06,  1.1500E+06,  9.2538E+05,  7.8873E+05,  6.7225E+05,  5.8767E+05,  4.7242E+05,  3.6209E+05,  2.6412E+05,  1.8483E+05,  1.2477E+05,  8.3846E+04,  5.6311E+04,  3.7637E+04,  2.5126E+04,  1.6315E+04,  1.0594E+04,  6.9383E+03,  4.5441E+03,  2.9787E+03,  1.9526E+03,  1.3143E+03,  8.8461E+02,  3.5760E+02,  1.1154E+02,  0.0000E+00,  0.0000E+00
  2.2959E-01,  3.3059E+00,  3.9366E+07,  2.5856E+07,  1.6093E+07,  1.1706E+07,  9.9487E+06,  8.4555E+06,  7.4636E+06,  6.5881E+06,  5.8287E+06,  4.5832E+06,  3.5724E+06,  2.6553E+06,  1.9225E+06,  1.3690E+06,  9.5893E+05,  6.6706E+05,  4.5443E+05,  3.0758E+05,  2.0573E+05,  1.3761E+05,  8.8336E+04,  5.6706E+04,  3.3540E+04,  1.9838E+04,  1.1777E+04,  6.9904E+03,  1.7276E+03,  3.8148E+02,  0.0000E+00,  0.0000E+00
  2.3299E-01,  3.6384E+00,  6.3768E+07,  4.4145E+07,  2.9168E+07,  2.1717E+07,  1.8271E+07,  1.5372E+07,  1.3440E+07,  1.1751E+07,  1.0413E+07,  8.3973E+06,  6.7180E+06,  5.2713E+06,  3.7757E+06,  2.6858E+06,  1.9287E+06,  1.3868E+06,  9.0539E+05,  5.9111E+05,  3.7127E+05,  2.3319E+05,  1.3472E+05,  7.7833E+04,  4.1340E+04,  2.1957E+04,  1.0849E+04,  5.3600E+03,  1.0944E+03,  1.8779E+02,  0.0000E+00,  0.0000E+00
  2.3591E-01,  4.0201E+00,  7.8224E+07,  5.3760E+07,  3.7816E+07,  2.9125E+07,  2.3734E+07,  1.9342E+07,  1.6541E+07,  1.4145E+07,  1.2356E+07,  9.8370E+06,  7.6914E+06,  5.8346E+06,  4.0418E+06,  2.7584E+06,  1.8894E+06,  1.2941E+06,  7.7077E+05,  4.5906E+05,  2.7959E+05,  1.7029E+05,  9.1329E+04,  4.8982E+04,  2.4957E+04,  1.2716E+04,  5.7107E+03,  2.5645E+03,  3.9515E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3834E-01,  4.4575E+00,  7.8968E+07,  5.5316E+07,  3.8894E+07,  2.9712E+07,  2.4050E+07,  1.9468E+07,  1.6548E+07,  1.4067E+07,  1.2198E+07,  9.5448E+06,  6.5692E+06,  4.3557E+06,  2.8383E+06,  1.7786E+06,  1.1227E+06,  7.0870E+05,  4.3872E+05,  2.7158E+05,  1.5777E+05,  9.1656E+04,  4.9092E+04,  2.6295E+04,  1.2799E+04,  6.2304E+03,  2.5053E+03,  1.0072E+03,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4032E-01,  4.9548E+00,  6.0408E+07,  4.2205E+07,  2.8273E+07,  2.0465E+07,  1.6795E+07,  1.3783E+07,  1.1232E+07,  9.1531E+06,  7.6975E+06,  5.7975E+06,  3.7080E+06,  2.3217E+06,  1.5072E+06,  9.4664E+05,  5.7187E+05,  3.4547E+05,  2.0897E+05,  1.2640E+05,  7.3201E+04,  4.2392E+04,  2.2123E+04,  1.1545E+04,  5.3819E+03,  2.5088E+03,  8.5000E+02,  2.8799E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
