x, y
0.054563547127230674, 0.0685855462241138
0.08788641406685933, 0.0474881008149449
0.12823442187555043, 0.03540389743942015
0.198297513282871, 0.025101399476445997
0.3138583871473561, 0.018027027560433825
0.4616683704645402, 0.013080269727190027
0.6479184683897072, 0.010068174774384415
0.983903319909766, 0.007173090809001103
1.5779950755463388, 0.004802078685827158
2.365376157671333, 0.0034521906852296915
3.2206944930281596, 0.002716293195087271
4.496728642796983, 0.0020676556134643117
6.2508373488757, 0.0016668212874687534
8.919368522263605, 0.0013313352871372104
12.47941919976812, 0.0011846904959871543
16.73453607826575, 0.0011076188123425893
24.302556753867368, 0.0011899350453711667
31.19139495875875, 0.0013703219733767012
41.455607733100884, 0.0017140710962538434
53.970870493777795, 0.002235747560710051
64.80676095279408, 0.0028052799922788398
80.72003243854503, 0.003729317060706249
98.7193314105556, 0.004836365728297317
