# Irene Model output file: angle/run1.AP9.output_mean_flux.txt
# Irene Software Version:  1.58.001
#
# Model type:               AP9
# Particle species:         H+
# Flux type:                1PtDiff
# Flux direction:           13 pitch angle(s) = 180 165 150 135 120 105 90 75 60 45 30 15 0
# Energy levels (MeV):       0.1 0.15 0.2 0.3 0.4 0.5 0.6 0.7 1 1.5 2 3 4 5 6 7 10 15 20 30 40 50 60 70 100 150 200 300 400 700 1200 2000
#
# Time format:              Modified Julian Date
# Coordinate system:        GEI (Geocentric Equatorial Inertial) Cartesian in Earth radii
# Data Delimiter:           comma
#
# datetime(mjd),posx(Re),posy(Re),posz(Re),pitchAngle(deg),flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux,flux(#/cm^2/sr/s/MeV)
58849.00000000,1.31416735,-0.00084105,-0.00199247,30.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,15.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00000000,1.31416735,-0.00084105,-0.00199247,0.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,180.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,165.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,150.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,135.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,120.000,2.74112006e+03,2.46827016e+03,2.19542027e+03,1.83143064e+03,1.46744101e+03,1.28905834e+03,1.11067568e+03,1.14364768e+03,7.64524491e+02,4.90991566e+02,2.17458640e+02,1.59559070e+02,1.01659501e+02,8.16497908e+01,6.16400810e+01,5.81753167e+01,4.40891150e+01,3.51910521e+01,2.27831982e+01,1.56196167e+01,1.32118625e+01,1.08041084e+01,7.96021902e+00,7.14863596e+00,4.46434891e+00,2.91163666e+00,1.56228284e+00,7.26960997e-01,7.35632497e-02,2.58909650e-03,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,105.000,1.36583976e+04,1.21697889e+04,1.06811802e+04,8.70687924e+03,6.73257826e+03,5.56290096e+03,4.39322365e+03,3.73671667e+03,1.98311558e+03,1.66982523e+03,1.35653488e+03,1.21490622e+03,1.07327756e+03,1.02946474e+03,9.85651919e+02,9.08210747e+02,5.78986924e+02,3.69837079e+02,2.00650884e+02,9.53273766e+01,7.36419146e+01,5.19564526e+01,3.41250452e+01,3.08670232e+01,1.84844102e+01,1.11700624e+01,5.10223227e+00,1.97472163e+00,1.96491052e-01,9.62754110e-03,1.90732411e-04,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,90.000,1.39226937e+04,1.24108456e+04,1.08989974e+04,8.89649155e+03,6.89398569e+03,5.71939700e+03,4.54480830e+03,3.87984644e+03,2.09134064e+03,1.77051121e+03,1.44968178e+03,1.30511461e+03,1.16054743e+03,1.11678235e+03,1.07301727e+03,9.90755706e+02,6.37547267e+02,4.10945744e+02,2.23664561e+02,1.05692916e+02,8.13664329e+01,5.70399494e+01,3.72109024e+01,3.36166948e+01,2.02527559e+01,1.23390136e+01,5.70165783e+00,2.24712737e+00,2.41117058e-01,1.27070827e-02,2.97298970e-04,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,75.000,1.36583976e+04,1.21697889e+04,1.06811802e+04,8.70687924e+03,6.73257826e+03,5.56290096e+03,4.39322365e+03,3.73671667e+03,1.98311558e+03,1.66982523e+03,1.35653488e+03,1.21490622e+03,1.07327756e+03,1.02946474e+03,9.85651919e+02,9.08210747e+02,5.78986924e+02,3.69837079e+02,2.00650884e+02,9.53273766e+01,7.36419146e+01,5.19564526e+01,3.41250452e+01,3.08670232e+01,1.84844102e+01,1.11700624e+01,5.10223227e+00,1.97472163e+00,1.96491052e-01,9.62754110e-03,1.90732411e-04,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,60.000,2.74112006e+03,2.46827016e+03,2.19542027e+03,1.83143064e+03,1.46744101e+03,1.28905834e+03,1.11067568e+03,1.14364768e+03,7.64524491e+02,4.90991566e+02,2.17458640e+02,1.59559070e+02,1.01659501e+02,8.16497908e+01,6.16400810e+01,5.81753167e+01,4.40891150e+01,3.51910521e+01,2.27831982e+01,1.56196167e+01,1.32118625e+01,1.08041084e+01,7.96021902e+00,7.14863596e+00,4.46434891e+00,2.91163666e+00,1.56228284e+00,7.26960997e-01,7.35632497e-02,2.58909650e-03,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,45.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,30.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,15.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00069444,1.31261321,0.02443438,0.05787102,0.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,180.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,165.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,150.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,135.000,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,120.000,2.28733542e+03,2.08428398e+03,1.88123254e+03,1.60126912e+03,1.32130571e+03,1.16227176e+03,1.00323782e+03,9.73491531e+02,6.25110457e+02,4.27463013e+02,2.29815569e+02,1.67006980e+02,1.04198392e+02,8.12764030e+01,5.83544141e+01,5.27754601e+01,3.52662729e+01,2.67878636e+01,1.68884407e+01,1.14417502e+01,9.62811938e+00,7.81448855e+00,5.69984673e+00,5.10451249e+00,3.15290835e+00,2.03929875e+00,1.08990085e+00,5.08407077e-01,4.26591719e-02,9.57074842e-04,0.00000000e+00,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,105.000,1.99486318e+04,1.77055578e+04,1.54624839e+04,1.24909343e+04,9.51938466e+03,7.71965078e+03,5.91991690e+03,4.97095319e+03,2.49378460e+03,2.10103528e+03,1.70828597e+03,1.50967877e+03,1.31107156e+03,1.24707056e+03,1.18306956e+03,1.07956517e+03,6.56116325e+02,3.96472171e+02,2.00882982e+02,9.14247976e+01,7.00200684e+01,4.86153391e+01,3.15867645e+01,2.84898972e+01,1.67214969e+01,9.91489765e+00,4.35668960e+00,1.59995675e+00,1.36659142e-01,5.85143103e-03,1.08581574e-04,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,90.000,2.03206919e+04,1.80445828e+04,1.57684737e+04,1.27555422e+04,9.74261060e+03,7.92535749e+03,6.10810439e+03,5.14607741e+03,2.61940457e+03,2.21575746e+03,1.81211035e+03,1.60846156e+03,1.40481277e+03,1.33894944e+03,1.27308611e+03,1.16348171e+03,7.11658714e+02,4.33615132e+02,2.20777332e+02,9.98750021e+01,7.62497633e+01,5.26245244e+01,3.39036178e+01,3.05495403e+01,1.80392770e+01,1.07712375e+01,4.76379978e+00,1.76203433e+00,1.60599533e-01,7.27454852e-03,1.56539317e-04,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,75.000,1.99486318e+04,1.77055578e+04,1.54624839e+04,1.24909343e+04,9.51938466e+03,7.71965078e+03,5.91991690e+03,4.97095319e+03,2.49378460e+03,2.10103528e+03,1.70828597e+03,1.50967877e+03,1.31107156e+03,1.24707056e+03,1.18306956e+03,1.07956517e+03,6.56116325e+02,3.96472171e+02,2.00882982e+02,9.14247976e+01,7.00200684e+01,4.86153391e+01,3.15867645e+01,2.84898972e+01,1.67214969e+01,9.91489765e+00,4.35668960e+00,1.59995675e+00,1.36659142e-01,5.85143103e-03,1.08581574e-04,0.00000000e+00
58849.00138889,1.30784738,0.04965001,0.11759264,60.000,2.28733542e+03,2.08428398e+03,1.88123254e+03,1.60126912e+03,1.32130571e+03,1.16227176e+03,1.00323782e+03,9.73491531e+02,6.25110457e+02,4.27463013e+02,2.29815569e+02,1.67006980e+02,1.04198392e+02,8.12764030e+01,5.83544141e+01,5.27754601e+01,3.52662729e+01,2.67878636e+01,1.68884407e+01,1.14417502e+01,9.62811938e+00,7.81448855e+00,5.69984673e+00,5.10451249e+00,3.15290835e+00,2.03929875e+00,1.08990085e+00,5.08407077e-01,4.26591719e-02,9.57074842e-04,0.00000000e+00,0.00000000e+00
