  2.0551E-01,  2.1955E+00,  1.1196E+05,  1.0191E+05,  9.2752E+04,  8.1933E+04,  7.2376E+04,  6.6192E+04,  6.0537E+04,  5.6811E+04,  4.6981E+04,  3.4158E+04,  2.4834E+04,  1.4699E+04,  8.7000E+03,  5.8567E+03,  3.9427E+03,  2.8228E+03,  1.1959E+03,  4.3430E+02,  2.1235E+02,  7.7122E+01,  4.0267E+01,  2.1024E+01,  1.2903E+01,  8.7196E+00,  3.0210E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1119E-01,  2.3596E+00,  1.5463E+05,  1.4054E+05,  1.2774E+05,  1.0827E+05,  9.1767E+04,  8.0087E+04,  6.9894E+04,  6.2132E+04,  4.4466E+04,  2.8334E+04,  1.8055E+04,  9.3434E+03,  4.8351E+03,  3.0749E+03,  1.9554E+03,  1.3942E+03,  5.5019E+02,  1.8730E+02,  8.7271E+01,  3.0248E+01,  1.3843E+01,  6.3349E+00,  3.5537E+00,  1.8851E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1648E-01,  2.5485E+00,  2.9747E+05,  2.6416E+05,  2.3459E+05,  1.8625E+05,  1.4787E+05,  1.2208E+05,  1.0079E+05,  8.3535E+04,  5.0448E+04,  2.6283E+04,  1.3693E+04,  5.6769E+03,  2.3535E+03,  1.3690E+03,  7.9628E+02,  5.4192E+02,  1.9944E+02,  5.8566E+01,  2.3408E+01,  6.3873E+00,  1.7429E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2132E-01,  2.7666E+00,  5.0137E+05,  4.2338E+05,  3.5753E+05,  2.5628E+05,  1.8370E+05,  1.3810E+05,  1.0383E+05,  8.2023E+04,  4.2587E+04,  1.7833E+04,  7.4675E+03,  2.7489E+03,  1.0119E+03,  5.2304E+02,  2.7034E+02,  1.6915E+02,  5.2213E+01,  1.2933E+01,  4.5456E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2570E-01,  3.0172E+00,  1.1586E+06,  8.9024E+05,  6.8403E+05,  4.2850E+05,  2.6842E+05,  1.6980E+05,  1.0741E+05,  7.5152E+04,  2.8257E+04,  9.0569E+03,  2.9029E+03,  8.0255E+02,  2.2188E+02,  9.2915E+01,  3.8910E+01,  2.1380E+01,  4.5881E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2959E-01,  3.3059E+00,  1.9026E+06,  1.2987E+06,  8.8647E+05,  4.4117E+05,  2.1956E+05,  1.2528E+05,  7.1484E+04,  4.5079E+04,  1.2745E+04,  3.3738E+03,  8.9308E+02,  1.8723E+02,  3.9254E+01,  1.4899E+01,  5.6553E+00,  3.0552E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3299E-01,  3.6384E+00,  2.0613E+06,  1.3322E+06,  8.6092E+05,  4.3672E+05,  2.2153E+05,  1.2841E+05,  7.4435E+04,  4.5288E+04,  1.2340E+04,  2.4779E+03,  4.9757E+02,  7.0543E+01,  1.0001E+01,  1.4179E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3591E-01,  4.0201E+00,  9.6175E+05,  6.3383E+05,  4.1772E+05,  2.0567E+05,  1.0126E+05,  5.2496E+04,  2.7215E+04,  1.5535E+04,  3.5760E+03,  5.5158E+02,  8.5080E+01,  2.0242E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3834E-01,  4.4575E+00,  5.2298E+05,  3.2797E+05,  2.0568E+05,  8.5363E+04,  3.5428E+04,  1.7064E+04,  8.2190E+03,  4.0396E+03,  5.6257E+02,  5.9033E+01,  6.1945E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4032E-01,  4.9548E+00,  5.8623E+05,  2.6334E+05,  1.1829E+05,  3.5731E+04,  1.0793E+04,  3.4972E+03,  1.1332E+03,  3.7404E+02,  1.9454E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4188E-01,  5.5140E+00,  3.3652E+05,  1.4395E+05,  6.1572E+04,  1.3084E+04,  2.7803E+03,  5.9034E+02,  1.2534E+02,  2.8660E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4305E-01,  6.1326E+00,  6.4224E+04,  2.6650E+04,  1.1059E+04,  2.1163E+03,  4.0498E+02,  8.0570E+01,  1.6029E+01,  3.1890E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4387E-01,  6.8004E+00,  4.2681E+03,  1.8309E+03,  7.8538E+02,  1.1985E+02,  1.8288E+01,  2.7907E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4438E-01,  7.4947E+00,  8.8612E+00,  5.1002E+00,  2.9355E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4463E-01,  8.1797E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4467E-01,  8.8026E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4454E-01,  9.3016E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4429E-01,  9.6156E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4395E-01,  9.7004E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4357E-01,  9.5445E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
