  2.2891E-01,  2.4585E+00,  1.4937E+05,  1.3449E+05,  1.2109E+05,  1.0021E+05,  8.2939E+04,  6.9986E+04,  5.9056E+04,  5.0621E+04,  3.3155E+04,  1.9005E+04,  1.0894E+04,  5.0361E+03,  2.3281E+03,  1.4449E+03,  8.9681E+02,  6.1985E+02,  2.3330E+02,  7.7970E+01,  3.4805E+01,  1.1284E+01,  5.2781E+00,  2.4688E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2579E-01,  2.2706E+00,  7.3179E+04,  6.5999E+04,  5.9523E+04,  5.0916E+04,  4.3553E+04,  3.8219E+04,  3.3537E+04,  3.0455E+04,  2.2972E+04,  1.5159E+04,  1.0003E+04,  5.9030E+03,  3.4834E+03,  2.3873E+03,  1.6362E+03,  1.1783E+03,  5.0085E+02,  1.7727E+02,  8.7668E+01,  3.0035E+01,  1.4609E+01,  7.1060E+00,  4.1293E+00,  2.7105E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2221E-01,  2.1061E+00,  4.1582E+04,  4.0255E+04,  3.8970E+04,  3.6827E+04,  3.4803E+04,  3.2984E+04,  3.1261E+04,  2.9629E+04,  2.5205E+04,  1.9735E+04,  1.5452E+04,  9.8871E+03,  6.3264E+03,  4.3600E+03,  3.0048E+03,  2.2254E+03,  1.0113E+03,  4.1229E+02,  2.1087E+02,  8.0815E+01,  4.7065E+01,  2.7409E+01,  1.7707E+01,  1.2548E+01,  4.9356E+00,  1.1326E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1816E-01,  1.9632E+00,  1.7707E+04,  1.7353E+04,  1.7006E+04,  1.6687E+04,  1.6374E+04,  1.6004E+04,  1.5642E+04,  1.5203E+04,  1.3960E+04,  1.1858E+04,  1.0072E+04,  7.3137E+03,  5.3108E+03,  3.8905E+03,  2.8500E+03,  2.2102E+03,  1.1750E+03,  6.1964E+02,  3.9868E+02,  2.1805E+02,  1.4170E+02,  9.2082E+01,  6.6067E+01,  4.8766E+01,  2.0269E+01,  6.0331E+00,  1.7957E+00,  0.0000E+00,  0.0000E+00
  2.1367E-01,  1.8388E+00,  5.5882E+03,  5.5521E+03,  5.5162E+03,  5.4323E+03,  5.3497E+03,  5.2568E+03,  5.1655E+03,  5.0725E+03,  4.8168E+03,  4.4465E+03,  4.1048E+03,  3.5340E+03,  3.0426E+03,  2.5875E+03,  2.2006E+03,  1.9137E+03,  1.2828E+03,  8.5228E+02,  6.2772E+02,  4.1241E+02,  2.9949E+02,  2.1749E+02,  1.6359E+02,  1.2279E+02,  5.1290E+01,  1.2786E+01,  3.1876E+00,  0.0000E+00,  0.0000E+00
  2.0878E-01,  1.7307E+00,  4.0983E+03,  4.0838E+03,  4.0693E+03,  4.0429E+03,  4.0166E+03,  3.9809E+03,  3.9455E+03,  3.9203E+03,  3.8302E+03,  3.6921E+03,  3.5589E+03,  3.2931E+03,  3.0470E+03,  2.7438E+03,  2.4707E+03,  2.2418E+03,  1.6689E+03,  1.1804E+03,  9.4761E+02,  7.0865E+02,  5.8919E+02,  4.8986E+02,  3.9521E+02,  3.1137E+02,  1.5050E+02,  4.4720E+01,  1.3288E+01,  1.1731E+00,  0.0000E+00
  2.0356E-01,  1.6371E+00,  4.6370E+03,  4.6214E+03,  4.6059E+03,  4.5796E+03,  4.5534E+03,  4.5270E+03,  4.5006E+03,  4.4697E+03,  4.3974E+03,  4.2690E+03,  4.1444E+03,  3.8968E+03,  3.6640E+03,  3.4572E+03,  3.2621E+03,  3.0610E+03,  2.4851E+03,  1.9927E+03,  1.6938E+03,  1.4316E+03,  1.2314E+03,  1.0592E+03,  9.0598E+02,  7.5922E+02,  4.4100E+02,  1.7746E+02,  7.1410E+01,  1.3561E+01,  2.5754E+00
  1.9810E-01,  1.5566E+00,  5.6538E+03,  5.6404E+03,  5.6270E+03,  5.6082E+03,  5.5894E+03,  5.5742E+03,  5.5591E+03,  5.5262E+03,  5.4714E+03,  5.3443E+03,  5.2202E+03,  5.0074E+03,  4.8032E+03,  4.5816E+03,  4.3701E+03,  4.2164E+03,  3.7236E+03,  3.2697E+03,  2.9127E+03,  2.6173E+03,  2.3110E+03,  2.0407E+03,  1.7921E+03,  1.5611E+03,  1.0163E+03,  4.8160E+02,  2.2822E+02,  5.5178E+01,  1.3341E+01
  1.9251E-01,  1.4869E+00,  6.9646E+03,  6.9543E+03,  6.9439E+03,  6.9224E+03,  6.9009E+03,  6.8836E+03,  6.8663E+03,  6.8419E+03,  6.7930E+03,  6.6920E+03,  6.5924E+03,  6.4054E+03,  6.2237E+03,  6.0651E+03,  5.9105E+03,  5.7598E+03,  5.3395E+03,  4.7851E+03,  4.4065E+03,  4.0979E+03,  3.6839E+03,  3.3117E+03,  3.0203E+03,  2.6757E+03,  1.8251E+03,  9.7327E+02,  5.1900E+02,  1.7431E+02,  5.8541E+01
  1.8692E-01,  1.4281E+00,  8.6640E+03,  8.6464E+03,  8.6287E+03,  8.6054E+03,  8.5821E+03,  8.5695E+03,  8.5570E+03,  8.5328E+03,  8.4852E+03,  8.4203E+03,  8.3559E+03,  8.1996E+03,  8.0462E+03,  7.8833E+03,  7.7237E+03,  7.5519E+03,  7.0640E+03,  6.5102E+03,  6.0112E+03,  5.4762E+03,  4.9729E+03,  4.5158E+03,  4.0603E+03,  3.6200E+03,  2.5367E+03,  1.4304E+03,  8.0660E+02,  2.8865E+02,  1.0330E+02
  1.8148E-01,  1.3788E+00,  9.6671E+03,  9.6387E+03,  9.6104E+03,  9.5805E+03,  9.5506E+03,  9.5288E+03,  9.5070E+03,  9.4770E+03,  9.3138E+03,  9.2683E+03,  9.2229E+03,  9.1215E+03,  9.0213E+03,  8.8949E+03,  8.7703E+03,  8.6486E+03,  8.1869E+03,  7.6111E+03,  7.0697E+03,  6.2064E+03,  5.5779E+03,  5.0129E+03,  4.5048E+03,  4.0494E+03,  2.9147E+03,  1.7149E+03,  1.0090E+03,  3.7941E+02,  1.4266E+02
  1.7635E-01,  1.3382E+00,  1.0094E+04,  1.0056E+04,  1.0018E+04,  9.9787E+03,  9.9395E+03,  9.9059E+03,  9.8725E+03,  9.8336E+03,  9.7280E+03,  9.6664E+03,  9.6053E+03,  9.5409E+03,  9.4770E+03,  9.3015E+03,  9.1292E+03,  8.9479E+03,  8.4347E+03,  7.7032E+03,  7.1128E+03,  6.1836E+03,  5.5780E+03,  5.0318E+03,  4.5636E+03,  4.1448E+03,  3.0808E+03,  1.8677E+03,  1.1323E+03,  4.2670E+02,  1.6080E+02
  1.7171E-01,  1.3058E+00,  1.1539E+04,  1.1462E+04,  1.1385E+04,  1.1331E+04,  1.1277E+04,  1.1209E+04,  1.1140E+04,  1.1088E+04,  1.0906E+04,  1.0833E+04,  1.0761E+04,  1.0665E+04,  1.0569E+04,  1.0429E+04,  1.0291E+04,  1.0096E+04,  9.4983E+03,  8.4450E+03,  7.7832E+03,  6.8011E+03,  6.1376E+03,  5.5388E+03,  5.0570E+03,  4.6181E+03,  3.4982E+03,  2.1675E+03,  1.3431E+03,  5.1165E+02,  1.9492E+02
  1.6772E-01,  1.2804E+00,  1.1122E+04,  1.1065E+04,  1.1009E+04,  1.0957E+04,  1.0905E+04,  1.0869E+04,  1.0832E+04,  1.0780E+04,  1.0624E+04,  1.0578E+04,  1.0532E+04,  1.0386E+04,  1.0242E+04,  1.0048E+04,  9.8586E+03,  9.6899E+03,  9.1637E+03,  8.1671E+03,  7.5880E+03,  6.6981E+03,  6.1139E+03,  5.5806E+03,  5.1240E+03,  4.7013E+03,  3.6074E+03,  2.2665E+03,  1.4240E+03,  5.5064E+02,  2.1293E+02
  1.6454E-01,  1.2624E+00,  1.0308E+04,  1.0279E+04,  1.0250E+04,  1.0216E+04,  1.0182E+04,  1.0163E+04,  1.0145E+04,  1.0114E+04,  1.0030E+04,  9.9780E+03,  9.9257E+03,  9.7728E+03,  9.6222E+03,  9.4417E+03,  9.2646E+03,  9.1169E+03,  8.6542E+03,  7.6918E+03,  7.1913E+03,  6.4381E+03,  5.9170E+03,  5.4380E+03,  5.0363E+03,  4.6380E+03,  3.6135E+03,  2.3031E+03,  1.4678E+03,  5.9329E+02,  2.3980E+02
  1.6229E-01,  1.2514E+00,  1.0338E+04,  1.0313E+04,  1.0288E+04,  1.0260E+04,  1.0233E+04,  1.0215E+04,  1.0197E+04,  1.0174E+04,  1.0107E+04,  1.0054E+04,  1.0002E+04,  9.8662E+03,  9.7325E+03,  9.5732E+03,  9.4165E+03,  9.2789E+03,  8.8543E+03,  7.9235E+03,  7.4290E+03,  6.6677E+03,  6.1568E+03,  5.6850E+03,  5.2833E+03,  4.8683E+03,  3.8075E+03,  2.4432E+03,  1.5678E+03,  6.5244E+02,  2.7151E+02
  1.6108E-01,  1.2466E+00,  1.0781E+04,  1.0762E+04,  1.0743E+04,  1.0719E+04,  1.0696E+04,  1.0678E+04,  1.0660E+04,  1.0637E+04,  1.0578E+04,  1.0506E+04,  1.0435E+04,  1.0292E+04,  1.0152E+04,  9.9942E+03,  9.8393E+03,  9.6927E+03,  9.2564E+03,  8.2310E+03,  7.7083E+03,  6.9178E+03,  6.4009E+03,  5.9227E+03,  5.5121E+03,  5.0784E+03,  3.9749E+03,  2.5582E+03,  1.6464E+03,  6.9761E+02,  2.9558E+02
  1.6094E-01,  1.2485E+00,  1.0927E+04,  1.0906E+04,  1.0885E+04,  1.0860E+04,  1.0835E+04,  1.0817E+04,  1.0799E+04,  1.0775E+04,  1.0713E+04,  1.0642E+04,  1.0571E+04,  1.0425E+04,  1.0280E+04,  1.0117E+04,  9.9568E+03,  9.8071E+03,  9.3583E+03,  8.3161E+03,  7.7836E+03,  6.9775E+03,  6.4506E+03,  5.9634E+03,  5.5464E+03,  5.1085E+03,  3.9940E+03,  2.5673E+03,  1.6503E+03,  6.9630E+02,  2.9379E+02
  1.6186E-01,  1.2569E+00,  1.0894E+04,  1.0864E+04,  1.0835E+04,  1.0802E+04,  1.0770E+04,  1.0751E+04,  1.0731E+04,  1.0705E+04,  1.0629E+04,  1.0578E+04,  1.0527E+04,  1.0377E+04,  1.0229E+04,  1.0050E+04,  9.8744E+03,  9.7253E+03,  9.2571E+03,  8.2567E+03,  7.7255E+03,  6.9070E+03,  6.3615E+03,  5.8592E+03,  5.4348E+03,  5.0023E+03,  3.8980E+03,  2.4922E+03,  1.5934E+03,  6.5601E+02,  2.7008E+02
  1.6381E-01,  1.2718E+00,  1.1794E+04,  1.1758E+04,  1.1723E+04,  1.1680E+04,  1.1637E+04,  1.1615E+04,  1.1593E+04,  1.1553E+04,  1.1446E+04,  1.1381E+04,  1.1317E+04,  1.1121E+04,  1.0928E+04,  1.0701E+04,  1.0478E+04,  1.0295E+04,  9.7201E+03,  8.5258E+03,  7.9209E+03,  7.0069E+03,  6.4121E+03,  5.8679E+03,  5.4163E+03,  4.9764E+03,  3.8486E+03,  2.4377E+03,  1.5440E+03,  6.1720E+02,  2.4672E+02
  1.6669E-01,  1.2938E+00,  1.3240E+04,  1.3167E+04,  1.3095E+04,  1.3033E+04,  1.2971E+04,  1.2912E+04,  1.2854E+04,  1.2796E+04,  1.2602E+04,  1.2537E+04,  1.2471E+04,  1.2298E+04,  1.2128E+04,  1.1901E+04,  1.1679E+04,  1.1460E+04,  1.0770E+04,  9.4729E+03,  8.7505E+03,  7.6506E+03,  6.9392E+03,  6.2940E+03,  5.7611E+03,  5.2697E+03,  4.0124E+03,  2.5044E+03,  1.5632E+03,  6.0224E+02,  2.3203E+02
  1.7038E-01,  1.3231E+00,  1.2375E+04,  1.2293E+04,  1.2212E+04,  1.2155E+04,  1.2098E+04,  1.2025E+04,  1.1952E+04,  1.1897E+04,  1.1702E+04,  1.1624E+04,  1.1547E+04,  1.1488E+04,  1.1430E+04,  1.1246E+04,  1.1065E+04,  1.0849E+04,  1.0184E+04,  9.1063E+03,  8.3442E+03,  7.2645E+03,  6.4968E+03,  5.8103E+03,  5.2868E+03,  4.8151E+03,  3.6143E+03,  2.2102E+03,  1.3516E+03,  5.1507E+02,  1.9628E+02
  1.7475E-01,  1.3604E+00,  1.1593E+04,  1.1545E+04,  1.1498E+04,  1.1452E+04,  1.1406E+04,  1.1363E+04,  1.1319E+04,  1.1274E+04,  1.1142E+04,  1.1072E+04,  1.1003E+04,  1.0916E+04,  1.0830E+04,  1.0630E+04,  1.0435E+04,  1.0241E+04,  9.6496E+03,  8.8054E+03,  8.0698E+03,  6.9642E+03,  6.2644E+03,  5.6348E+03,  5.0852E+03,  4.5958E+03,  3.3627E+03,  2.0075E+03,  1.1984E+03,  4.5254E+02,  1.7089E+02
  1.7967E-01,  1.4064E+00,  1.1541E+04,  1.1499E+04,  1.1458E+04,  1.1420E+04,  1.1382E+04,  1.1345E+04,  1.1308E+04,  1.1271E+04,  1.1161E+04,  1.1079E+04,  1.0998E+04,  1.0834E+04,  1.0672E+04,  1.0486E+04,  1.0303E+04,  1.0168E+04,  9.5590E+03,  8.7911E+03,  8.1470E+03,  7.1418E+03,  6.4148E+03,  5.7618E+03,  5.1572E+03,  4.6123E+03,  3.2665E+03,  1.8868E+03,  1.0899E+03,  4.0829E+02,  1.5295E+02
  1.8502E-01,  1.4619E+00,  9.3746E+03,  9.3582E+03,  9.3418E+03,  9.3120E+03,  9.2823E+03,  9.2658E+03,  9.2493E+03,  9.2189E+03,  9.1563E+03,  9.0408E+03,  8.9268E+03,  8.6874E+03,  8.4545E+03,  8.2457E+03,  8.0422E+03,  7.8254E+03,  7.1998E+03,  6.4459E+03,  5.8553E+03,  5.2910E+03,  4.8379E+03,  4.4236E+03,  4.0026E+03,  3.5580E+03,  2.4731E+03,  1.3632E+03,  7.5146E+02,  2.6211E+02,  9.1422E+01
  1.9066E-01,  1.5284E+00,  7.5698E+03,  7.5536E+03,  7.5373E+03,  7.5067E+03,  7.4762E+03,  7.4549E+03,  7.4337E+03,  7.3949E+03,  7.3265E+03,  7.1779E+03,  7.0322E+03,  6.7861E+03,  6.5485E+03,  6.3814E+03,  6.2186E+03,  5.9372E+03,  5.2451E+03,  4.5709E+03,  4.0899E+03,  3.7048E+03,  3.3125E+03,  2.9617E+03,  2.6702E+03,  2.3394E+03,  1.5517E+03,  7.8187E+02,  3.9399E+02,  1.1214E+02,  3.1918E+01
  1.9651E-01,  1.6072E+00,  6.3655E+03,  6.3414E+03,  6.3175E+03,  6.2858E+03,  6.2542E+03,  6.2278E+03,  6.2015E+03,  6.1544E+03,  6.0732E+03,  5.9096E+03,  5.7504E+03,  5.4768E+03,  5.2162E+03,  4.9180E+03,  4.6368E+03,  4.3347E+03,  3.5913E+03,  2.9367E+03,  2.5079E+03,  2.1538E+03,  1.8874E+03,  1.6540E+03,  1.4172E+03,  1.2095E+03,  7.5177E+02,  3.2601E+02,  1.4138E+02,  2.9234E+01,  6.0450E+00
  2.0246E-01,  1.7003E+00,  5.4186E+03,  5.3960E+03,  5.3736E+03,  5.3447E+03,  5.3159E+03,  5.2701E+03,  5.2247E+03,  5.1958E+03,  5.0779E+03,  4.9098E+03,  4.7471E+03,  4.3587E+03,  4.0020E+03,  3.6260E+03,  3.2854E+03,  2.9715E+03,  2.2010E+03,  1.5450E+03,  1.2472E+03,  9.5745E+02,  8.1646E+02,  6.9623E+02,  5.8626E+02,  4.7756E+02,  2.4931E+02,  8.4531E+01,  2.8660E+01,  3.2947E+00,  0.0000E+00
  2.0846E-01,  1.8101E+00,  5.4318E+03,  5.3976E+03,  5.3636E+03,  5.3001E+03,  5.2374E+03,  5.1758E+03,  5.1150E+03,  5.0602E+03,  4.9053E+03,  4.6672E+03,  4.4407E+03,  3.9729E+03,  3.5543E+03,  3.0833E+03,  2.6747E+03,  2.3476E+03,  1.6077E+03,  1.0394E+03,  7.6949E+02,  5.2602E+02,  4.0445E+02,  3.1097E+02,  2.3473E+02,  1.7607E+02,  7.3977E+01,  1.8382E+01,  4.5675E+00,  0.0000E+00,  0.0000E+00
  2.1443E-01,  1.9400E+00,  1.5634E+04,  1.5472E+04,  1.5313E+04,  1.5001E+04,  1.4695E+04,  1.4300E+04,  1.3916E+04,  1.3506E+04,  1.2380E+04,  1.0694E+04,  9.2385E+03,  6.9024E+03,  5.1571E+03,  3.8710E+03,  2.9056E+03,  2.2990E+03,  1.2940E+03,  7.1325E+02,  4.7282E+02,  2.6646E+02,  1.7602E+02,  1.1627E+02,  8.4673E+01,  6.2302E+01,  2.5969E+01,  7.2257E+00,  2.0105E+00,  0.0000E+00,  0.0000E+00
  2.2034E-01,  2.0929E+00,  4.0713E+04,  3.9669E+04,  3.8651E+04,  3.6744E+04,  3.4930E+04,  3.3204E+04,  3.1563E+04,  2.9982E+04,  2.5678E+04,  2.0305E+04,  1.6056E+04,  1.0355E+04,  6.6775E+03,  4.6093E+03,  3.1817E+03,  2.3585E+03,  1.0823E+03,  4.4951E+02,  2.3236E+02,  9.1264E+01,  5.4055E+01,  3.2016E+01,  2.0917E+01,  1.4945E+01,  5.9310E+00,  1.3637E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2613E-01,  2.2741E+00,  7.2785E+04,  6.5638E+04,  5.9192E+04,  5.0568E+04,  4.3200E+04,  3.7826E+04,  3.3121E+04,  2.9996E+04,  2.2496E+04,  1.4788E+04,  9.7212E+03,  5.7344E+03,  3.3826E+03,  2.3157E+03,  1.5853E+03,  1.1440E+03,  4.8648E+02,  1.7214E+02,  8.5080E+01,  2.9079E+01,  1.4095E+01,  6.8322E+00,  3.9653E+00,  2.6111E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3178E-01,  2.4900E+00,  1.6647E+05,  1.4884E+05,  1.3308E+05,  1.0732E+05,  8.6552E+04,  7.2021E+04,  5.9930E+04,  5.0417E+04,  3.1315E+04,  1.6885E+04,  9.1042E+03,  4.1284E+03,  1.8720E+03,  1.1336E+03,  6.8643E+02,  4.7687E+02,  1.8439E+02,  5.8327E+01,  2.6583E+01,  8.2532E+00,  3.9061E+00,  1.8487E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3727E-01,  2.7483E+00,  3.0319E+05,  2.5684E+05,  2.1757E+05,  1.5953E+05,  1.1697E+05,  8.8982E+04,  6.7690E+04,  5.2546E+04,  2.6563E+04,  1.1746E+04,  5.1944E+03,  1.9762E+03,  7.5184E+02,  4.0017E+02,  2.1300E+02,  1.3484E+02,  4.2936E+01,  1.1092E+01,  4.0023E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4255E-01,  3.0592E+00,  8.5517E+05,  6.3596E+05,  4.7295E+05,  2.7256E+05,  1.5708E+05,  9.6975E+04,  5.9869E+04,  4.0746E+04,  1.4450E+04,  4.4578E+03,  1.3753E+03,  3.5758E+02,  9.2969E+01,  3.8176E+01,  1.5676E+01,  8.4289E+00,  1.8437E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4762E-01,  3.4373E+00,  1.6984E+06,  1.0615E+06,  6.6346E+05,  3.3116E+05,  1.6529E+05,  9.9438E+04,  5.9821E+04,  3.7926E+04,  1.1527E+04,  2.6589E+03,  6.1333E+02,  1.1295E+02,  2.0801E+01,  7.4033E+00,  2.6349E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5246E-01,  3.9009E+00,  7.7470E+05,  5.2615E+05,  3.5735E+05,  1.7633E+05,  8.7011E+04,  4.7682E+04,  2.6130E+04,  1.5616E+04,  3.7667E+03,  6.9201E+02,  1.2714E+02,  1.6830E+01,  2.2279E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5703E-01,  4.4751E+00,  3.1235E+05,  1.9576E+05,  1.2269E+05,  5.3994E+04,  2.3761E+04,  1.0932E+04,  5.0300E+03,  2.5558E+03,  3.6160E+02,  4.0498E+01,  4.5356E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6131E-01,  5.1940E+00,  3.2603E+05,  1.2303E+05,  4.6427E+04,  1.0277E+04,  2.2750E+03,  5.8126E+02,  1.4851E+02,  3.9470E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6530E-01,  6.1050E+00,  2.9470E+04,  1.2058E+04,  4.9338E+03,  9.1608E+02,  1.7009E+02,  3.5300E+01,  7.3260E+00,  1.5204E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.6895E-01,  7.2716E+00,  2.0534E+01,  1.0496E+01,  5.3652E+00,  1.4018E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7226E-01,  8.7810E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7519E-01,  1.0743E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7772E-01,  1.3285E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.7985E-01,  1.6501E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8153E-01,  2.0334E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8277E-01,  2.4335E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8354E-01,  2.7468E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8383E-01,  2.8453E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.8363E-01,  2.6801E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
